First Component,Second Component,Third Component,Fourth Component,Particle Type
39.95092002715408,63.47998518695384,-32.987242425107404,47.83875627325837,Gamma
-23.346650200001054,13.178221107469536,-37.3117033062008,12.094367029167934,Gamma
26.500487941264037,36.23308365671228,-35.68165593673019,24.263529670557993,Gamma
-39.17772029095321,-86.85712503297938,-37.251791529934806,-31.335430106207077,Gamma
20.585861541864308,75.36375397441012,-7.870680036223491,27.050279565825644,Gamma
83.184261832281,81.9512444881384,79.36636409073472,-74.90908857097169,Gamma
-10.61493153907969,41.81879328099256,-16.306086696469105,-26.436376693152074,Gamma
-5.993031257620218,9.49279506932624,-32.61442993903512,18.219463630463736,Gamma
6.679606341757878,29.342476015736878,16.891657554747948,-27.046983300238523,Gamma
21.10973795505037,46.11732147468488,20.17906748517691,-30.560681998463824,Gamma
-25.689857144126158,25.54281112925022,-18.950876757285748,-50.30244070328012,Gamma
-11.391783129897702,12.687936054902583,25.89074759120515,-140.92079412650358,Gamma
29.276240246711506,69.62619925840133,13.742370803612854,132.82970831414988,Gamma
-76.05976376934487,-70.80242326872055,25.707244648836944,-135.75768606175615,Gamma
10.783448712097279,41.03219211781198,74.93630327448399,-119.6472165071602,Gamma
87.40676917467849,57.870702695985905,-19.513034718779597,138.55360161156742,Gamma
60.01959385882007,104.05156749260779,31.876241751041135,112.36095814745374,Gamma
-19.739785522293023,0.501753839610044,-26.120265190239174,17.671788665911098,Gamma
-45.844413448567714,-110.69461950316729,-73.29962284093469,-135.0656666924465,Gamma
38.093541327097626,60.202708840815276,-37.29976604648344,109.2316262681963,Gamma
-76.45876304627623,-60.66575650274199,60.57924337592584,-50.76446440196137,Gamma
26.792809921012765,59.70730148139975,12.411801400055884,-13.315914218497065,Gamma
27.176786753131925,65.80683942072591,34.23951872462814,-18.195637852734528,Gamma
5.337250389909122,52.03423047719224,-1.3982032144741101,-25.405577714764974,Gamma
-13.498873270465142,14.554695748717505,-43.00072609688461,13.624829105306974,Gamma
-21.62222121674879,45.90798611422205,-5.317351827924709,18.53011309288061,Gamma
-54.10382619306382,-18.18548215587785,9.463137381652432,-60.1071216423114,Gamma
59.7014591882512,79.85242682927536,29.191980062357064,125.2091298098774,Gamma
2.33549861532968,31.78217237637925,-11.17497994852591,-20.509476045112816,Gamma
-0.039226891142808425,6.51249888662904,28.33750181226681,-100.66921456139472,Gamma
18.085942089284163,73.42457268393017,-10.817719828955383,106.97486501039907,Gamma
1.5459182673649252,35.219826963110975,2.3292041793164278,-4.547172243222295,Gamma
43.725099994782816,103.18686617004214,11.381621652297502,82.09443942152822,Gamma
18.606166613321147,56.63487107721382,15.678660483580842,20.65683003809954,Gamma
45.9949045554818,76.11137794347819,-5.09827560730069,31.835740330255987,Gamma
5.922510895128703,60.967289184748864,-6.093445452557644,-18.891121516152165,Gamma
-37.03403284766403,36.65423999806068,-29.099424860156994,34.3660016749077,Gamma
12.821210921752085,36.85961873398821,-41.516871841046175,-35.14387741323741,Gamma
54.97718579440184,93.09399548646401,10.15519218743242,117.25309132552181,Gamma
-7.233066768719335,62.70393070592163,-35.11813835198071,38.70929720068862,Gamma
4.119765390303915,2.168970598207588,-48.24629065312319,-26.511680570692075,Gamma
27.408274859899688,61.70939385958393,5.593793418470971,3.127682375419308,Gamma
-20.13083550733875,25.325802039793835,-6.721685048860727,-3.827767817971626,Gamma
60.35352007866519,92.7171899879235,27.169038498392915,74.08917737709035,Gamma
61.644971430845125,74.16031616648098,9.452689697126097,49.378582246954856,Gamma
